Conv__model.0_conv_Conv_187                                  	None	eculidean_norm=0.029932	cosine_norm=0.999551
Sigmoid__model.0_act_Sigmoid_188_Mul__model.0_act_Mul_172    	None	eculidean_norm=0.018422	cosine_norm=0.999831
Conv__model.1_conv_Conv_171                                  	None	eculidean_norm=0.020209	cosine_norm=0.999795
Sigmoid__model.1_act_Sigmoid_157_Mul__model.1_act_Mul_156    	None	eculidean_norm=0.016985	cosine_norm=0.999856
Conv__model.2_cv1_conv_Conv_167                              	None	eculidean_norm=0.022130	cosine_norm=0.999755
Conv__model.2_cv2_conv_Conv_142                              	None	eculidean_norm=0.018782	cosine_norm=0.999824
Sigmoid__model.2_cv2_act_Sigmoid_143_Mul__model.2_cv2_act_Mul_129 	None	eculidean_norm=0.016444	cosine_norm=0.999865
Sigmoid__model.2_cv1_act_Sigmoid_168_Mul__model.2_cv1_act_Mul_154 	None	eculidean_norm=0.016892	cosine_norm=0.999857
Conv__model.2_m_m.0_cv1_conv_Conv_189                        	None	eculidean_norm=0.020800	cosine_norm=0.999784
Sigmoid__model.2_m_m.0_cv1_act_Sigmoid_186_Mul__model.2_m_m.0_cv1_act_Mul_185 	None	eculidean_norm=0.015967	cosine_norm=0.999872
Conv__model.2_m_m.0_cv2_conv_Conv_169                        	None	eculidean_norm=0.021004	cosine_norm=0.999779
Sigmoid__model.2_m_m.0_cv2_act_Sigmoid_170_Mul__model.2_m_m.0_cv2_act_Mul_155 	None	eculidean_norm=0.016631	cosine_norm=0.999862
Add__model.2_m_m.0_Add_141                                   	None	eculidean_norm=0.017234	cosine_norm=0.999852
Concat__model.2_Concat_128                                   	None	eculidean_norm=0.016850	cosine_norm=0.999858
Conv__model.2_cv3_conv_Conv_113                              	None	eculidean_norm=0.019541	cosine_norm=0.999809
Sigmoid__model.2_cv3_act_Sigmoid_114_Mul__model.2_cv3_act_Mul_103 	None	eculidean_norm=0.014069	cosine_norm=0.999902
Conv__model.3_conv_Conv_101                                  	None	eculidean_norm=0.016537	cosine_norm=0.999863
Sigmoid__model.3_act_Sigmoid_102_Mul__model.3_act_Mul_90     	None	eculidean_norm=0.013225	cosine_norm=0.999913
Conv__model.4_cv2_conv_Conv_77                               	None	eculidean_norm=0.015615	cosine_norm=0.999878
Conv__model.4_cv1_conv_Conv_122                              	None	eculidean_norm=0.014940	cosine_norm=0.999889
Sigmoid__model.4_cv2_act_Sigmoid_76_Mul__model.4_cv2_act_Mul_73 	None	eculidean_norm=0.016272	cosine_norm=0.999868
Sigmoid__model.4_cv1_act_Sigmoid_123_Mul__model.4_cv1_act_Mul_109 	None	eculidean_norm=0.015412	cosine_norm=0.999881
Conv__model.4_m_m.0_cv1_conv_Conv_139                        	None	eculidean_norm=0.015491	cosine_norm=0.999880
Sigmoid__model.4_m_m.0_cv1_act_Sigmoid_140_Mul__model.4_m_m.0_cv1_act_Mul_127 	None	eculidean_norm=0.012729	cosine_norm=0.999919
Conv__model.4_m_m.0_cv2_conv_Conv_124                        	None	eculidean_norm=0.014787	cosine_norm=0.999891
Sigmoid__model.4_m_m.0_cv2_act_Sigmoid_125_Mul__model.4_m_m.0_cv2_act_Mul_110 	None	eculidean_norm=0.012151	cosine_norm=0.999926
Add__model.4_m_m.0_Add_98                                    	None	eculidean_norm=0.011502	cosine_norm=0.999934
Conv__model.4_m_m.1_cv1_conv_Conv_126                        	None	eculidean_norm=0.019328	cosine_norm=0.999813
Sigmoid__model.4_m_m.1_cv1_act_Sigmoid_112_Mul__model.4_m_m.1_cv1_act_Mul_111 	None	eculidean_norm=0.016709	cosine_norm=0.999860
Conv__model.4_m_m.1_cv2_conv_Conv_99                         	None	eculidean_norm=0.019806	cosine_norm=0.999804
Sigmoid__model.4_m_m.1_cv2_act_Sigmoid_100_Mul__model.4_m_m.1_cv2_act_Mul_89 	None	eculidean_norm=0.017650	cosine_norm=0.999844
Add__model.4_m_m.1_Add_88                                    	None	eculidean_norm=0.012637	cosine_norm=0.999920
Concat__model.4_Concat_72                                    	None	eculidean_norm=0.014186	cosine_norm=0.999899
Conv__model.4_cv3_conv_Conv_55                               	None	eculidean_norm=0.015434	cosine_norm=0.999880
Sigmoid__model.4_cv3_act_Sigmoid_56_Mul__model.4_cv3_act_Mul_41 	None	eculidean_norm=0.013591	cosine_norm=0.999908
Conv__model.5_conv_Conv_153                                  	None	eculidean_norm=0.015967	cosine_norm=0.999873
Sigmoid__model.5_act_Sigmoid_152_Mul__model.5_act_Mul_151    	None	eculidean_norm=0.012450	cosine_norm=0.999922
Conv__model.6_cv1_conv_Conv_198                              	None	eculidean_norm=0.014670	cosine_norm=0.999893
Conv__model.6_cv2_conv_Conv_138                              	None	eculidean_norm=0.015131	cosine_norm=0.999886
Sigmoid__model.6_cv1_act_Sigmoid_199_Mul__model.6_cv1_act_Mul_193 	None	eculidean_norm=0.013030	cosine_norm=0.999915
Sigmoid__model.6_cv2_act_Sigmoid_137_Mul__model.6_cv2_act_Mul_136 	None	eculidean_norm=0.019827	cosine_norm=0.999803
Conv__model.6_m_m.0_cv1_conv_Conv_201                        	None	eculidean_norm=0.017011	cosine_norm=0.999855
Sigmoid__model.6_m_m.0_cv1_act_Sigmoid_200_Mul__model.6_m_m.0_cv1_act_Mul_197 	None	eculidean_norm=0.011118	cosine_norm=0.999938
Conv__model.6_m_m.0_cv2_conv_Conv_196                        	None	eculidean_norm=0.013530	cosine_norm=0.999909
Sigmoid__model.6_m_m.0_cv2_act_Sigmoid_195_Mul__model.6_m_m.0_cv2_act_Mul_194 	None	eculidean_norm=0.010577	cosine_norm=0.999944
Add__model.6_m_m.0_Add_179                                   	None	eculidean_norm=0.011512	cosine_norm=0.999934
Conv__model.6_m_m.1_cv1_conv_Conv_192                        	None	eculidean_norm=0.014433	cosine_norm=0.999896
Sigmoid__model.6_m_m.1_cv1_act_Sigmoid_190_Mul__model.6_m_m.1_cv1_act_Mul_184 	None	eculidean_norm=0.011063	cosine_norm=0.999939
Conv__model.6_m_m.1_cv2_conv_Conv_183                        	None	eculidean_norm=0.012860	cosine_norm=0.999918
Sigmoid__model.6_m_m.1_cv2_act_Sigmoid_182_Mul__model.6_m_m.1_cv2_act_Mul_180 	None	eculidean_norm=0.008969	cosine_norm=0.999960
Add__model.6_m_m.1_Add_162                                   	None	eculidean_norm=0.009446	cosine_norm=0.999955
Conv__model.6_m_m.2_cv1_conv_Conv_181                        	None	eculidean_norm=0.014712	cosine_norm=0.999892
Sigmoid__model.6_m_m.2_cv1_act_Sigmoid_166_Mul__model.6_m_m.2_cv1_act_Mul_165 	None	eculidean_norm=0.011421	cosine_norm=0.999935
Conv__model.6_m_m.2_cv2_conv_Conv_163                        	None	eculidean_norm=0.015415	cosine_norm=0.999881
Sigmoid__model.6_m_m.2_cv2_act_Sigmoid_164_Mul__model.6_m_m.2_cv2_act_Mul_150 	None	eculidean_norm=0.011614	cosine_norm=0.999933
Add__model.6_m_m.2_Add_149                                   	None	eculidean_norm=0.008821	cosine_norm=0.999961
Concat__model.6_Concat_135                                   	None	eculidean_norm=0.011032	cosine_norm=0.999939
Conv__model.6_cv3_conv_Conv_120                              	None	eculidean_norm=0.014223	cosine_norm=0.999899
Sigmoid__model.6_cv3_act_Sigmoid_121_Mul__model.6_cv3_act_Mul_108 	None	eculidean_norm=0.012777	cosine_norm=0.999918
Conv__model.7_conv_Conv_160                                  	None	eculidean_norm=0.015515	cosine_norm=0.999880
Sigmoid__model.7_act_Sigmoid_161_Mul__model.7_act_Mul_148    	None	eculidean_norm=0.012753	cosine_norm=0.999919
Conv__model.8_cv2_conv_Conv_145                              	None	eculidean_norm=0.015397	cosine_norm=0.999882
Conv__model.8_cv1_conv_Conv_173                              	None	eculidean_norm=0.016405	cosine_norm=0.999865
Sigmoid__model.8_cv2_act_Sigmoid_146_Mul__model.8_cv2_act_Mul_131 	None	eculidean_norm=0.017466	cosine_norm=0.999848
