               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080678,            0.046034,                   0,             0.58715,             0.57987,             0.55337,               0.265,            0.055133,            0.027339,                   0,            0.070128,           0.0033191,           0.0033191
                   1,            0.058841,            0.038992,                   0,             0.67725,             0.61171,             0.65075,             0.31474,            0.050765,            0.026585,                   0,            0.040115,           0.0066392,           0.0066392
                   2,             0.05368,            0.038983,                   0,             0.64347,             0.65639,             0.66439,             0.35956,            0.042759,            0.027778,                   0,            0.010089,           0.0099462,           0.0099462
                   3,             0.04917,            0.038387,                   0,             0.75637,             0.67052,             0.73931,             0.41739,            0.041087,             0.02833,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.045745,            0.038925,                   0,             0.76514,             0.68439,             0.73987,             0.43674,            0.038718,             0.02814,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.043762,            0.037373,                   0,             0.77996,               0.698,             0.76572,             0.44611,            0.038835,            0.026812,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.042348,            0.037156,                   0,             0.79067,             0.68156,             0.76673,             0.47064,            0.037377,            0.026797,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.040738,            0.035892,                   0,             0.80399,             0.69099,             0.78336,             0.48292,            0.036152,             0.02708,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040493,            0.035305,                   0,             0.80209,             0.72625,             0.80494,             0.50864,            0.035437,            0.025889,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039896,            0.035409,                   0,             0.82233,             0.69535,             0.79647,             0.50199,            0.035461,            0.025867,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.039321,            0.034875,                   0,             0.82226,             0.71443,             0.80537,             0.51532,            0.034453,            0.025444,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038855,             0.03518,                   0,             0.80743,             0.71603,             0.80615,              0.5139,            0.034318,            0.025154,                   0,            0.009802,            0.009802,            0.009802
