               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07164,            0.044185,                   0,             0.73425,             0.66333,             0.73342,             0.33884,            0.051063,            0.025064,                   0,            0.070128,           0.0033191,           0.0033191
                   1,            0.054091,            0.036522,                   0,             0.71567,             0.67899,             0.72814,              0.3692,            0.044694,            0.024297,                   0,            0.040115,           0.0066392,           0.0066392
                   2,            0.049619,            0.036124,                   0,             0.76284,              0.6885,             0.76977,             0.45533,            0.040703,            0.026454,                   0,            0.010089,           0.0099462,           0.0099462
                   3,            0.044782,            0.035961,                   0,             0.77699,             0.70005,             0.78366,             0.47534,            0.037833,            0.026635,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,             0.04243,             0.03631,                   0,             0.80767,             0.73369,              0.8108,             0.50632,            0.035683,             0.02527,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.040695,            0.035037,                   0,             0.83121,               0.736,             0.82649,             0.53182,            0.034413,            0.024856,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.039055,            0.034649,                   0,             0.79299,              0.7319,             0.79848,              0.4982,            0.035363,            0.025698,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.037881,            0.033787,                   0,             0.80435,              0.7301,             0.80158,             0.51668,            0.033708,            0.025922,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.037354,             0.03323,                   0,             0.84082,             0.72881,             0.82608,             0.54888,            0.032785,            0.024404,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.036556,             0.03322,                   0,             0.82261,             0.75064,             0.83197,             0.54561,            0.032806,            0.024565,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.035853,            0.032572,                   0,             0.82586,             0.76271,             0.83596,             0.55897,            0.031446,            0.023994,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.035535,            0.032604,                   0,             0.84325,             0.76708,             0.84924,             0.56781,            0.030861,            0.023424,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.034756,            0.031799,                   0,             0.83425,              0.7699,             0.85392,             0.58045,            0.030352,            0.023577,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.034875,            0.031647,                   0,             0.84398,             0.76821,             0.85135,              0.5831,            0.030572,            0.023337,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.034094,             0.03137,                   0,             0.85208,             0.77478,             0.85581,             0.58946,              0.0297,            0.022807,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.033498,            0.030437,                   0,             0.82201,             0.78277,              0.8498,             0.57588,            0.030315,            0.023443,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.033772,            0.030457,                   0,             0.84045,             0.79676,             0.86604,             0.60255,            0.029359,            0.022399,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.032438,            0.029848,                   0,             0.85268,             0.79073,             0.86576,             0.60131,            0.029055,            0.022404,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.032603,            0.030104,                   0,             0.86076,             0.79059,             0.87073,             0.60704,            0.028929,            0.022073,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.032941,            0.030548,                   0,             0.85355,             0.79481,             0.86585,             0.60467,            0.028803,            0.022481,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.032286,            0.029591,                   0,             0.86063,             0.79661,             0.87333,             0.60699,            0.028685,            0.022248,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.031668,            0.028905,                   0,             0.86278,             0.79738,             0.87982,             0.61732,            0.028211,            0.021954,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.031282,            0.028348,                   0,             0.86403,             0.79635,             0.87739,             0.61889,            0.028455,            0.021782,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.031576,            0.028945,                   0,             0.85093,              0.8121,             0.88116,             0.61454,            0.028092,            0.021645,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,             0.03126,            0.028698,                   0,             0.87153,             0.79841,             0.87675,             0.62022,            0.028198,            0.021755,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.031321,            0.028753,                   0,             0.86316,             0.81807,             0.88719,             0.62457,            0.028084,            0.021099,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.030753,             0.02838,                   0,             0.87615,             0.80665,             0.89013,             0.63577,            0.027489,            0.021058,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.030682,            0.028097,                   0,             0.86443,             0.81536,             0.88512,             0.63031,            0.027917,              0.0215,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.030533,            0.028053,                   0,             0.85686,             0.82332,             0.88336,              0.6351,            0.027279,            0.021541,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.031045,            0.028722,                   0,             0.87033,              0.8187,             0.88436,             0.63334,            0.027396,            0.020957,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.029816,            0.027538,                   0,             0.86396,             0.82688,             0.88819,             0.63328,             0.02786,            0.021164,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.029695,            0.027098,                   0,             0.89526,             0.82255,              0.8998,             0.64767,            0.027126,            0.020542,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.029724,            0.026747,                   0,             0.87753,             0.82614,             0.89378,             0.64496,            0.027126,            0.020694,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.029844,            0.027046,                   0,             0.88105,             0.82589,             0.89359,             0.64004,            0.027298,            0.021086,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.029476,            0.026775,                   0,             0.88148,             0.82699,             0.89406,             0.64633,            0.026947,            0.020654,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.029437,            0.026881,                   0,             0.87148,             0.82019,             0.88952,              0.6439,            0.026993,            0.020935,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.029387,            0.026913,                   0,             0.88481,             0.82255,             0.89385,               0.655,            0.026679,            0.020369,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.029017,            0.025825,                   0,             0.88778,             0.82486,             0.89698,             0.65462,            0.026547,            0.020122,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.028795,            0.026063,                   0,             0.87317,             0.83128,             0.89686,             0.64691,            0.026505,            0.020533,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.029357,            0.026424,                   0,             0.89364,              0.8264,             0.89626,             0.65121,            0.026412,             0.02033,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.028372,            0.025574,                   0,             0.90065,             0.82412,             0.90067,             0.66047,            0.026335,            0.020197,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.028799,            0.026154,                   0,             0.90662,             0.83027,             0.90526,             0.66459,            0.026164,            0.020134,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.028766,            0.026273,                   0,             0.90791,             0.84489,             0.90921,             0.67007,            0.025562,            0.019348,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.028635,            0.025855,                   0,             0.88923,             0.84315,             0.90336,              0.6673,            0.025977,            0.020012,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.02808,            0.024997,                   0,             0.89301,             0.83179,             0.90281,             0.65778,            0.026192,            0.020095,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.028707,            0.025183,                   0,             0.90251,              0.8454,             0.90861,             0.67414,            0.025543,            0.019291,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.028254,            0.025791,                   0,             0.89478,             0.84516,             0.90763,             0.67481,            0.025433,            0.019592,                   0,            0.009109,            0.009109,            0.009109
                  47,             0.02809,            0.025482,                   0,              0.9072,             0.83821,             0.91513,             0.67701,            0.025515,            0.019232,                   0,           0.0090892,           0.0090892,           0.0090892
