               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083736,            0.047911,                   0,             0.46476,             0.46944,             0.41987,             0.18125,            0.060304,            0.029145,                   0,            0.070128,           0.0033191,           0.0033191
                   1,            0.062056,            0.041046,                   0,              0.5483,             0.54833,             0.53236,              0.2485,            0.054637,            0.028113,                   0,            0.040115,           0.0066392,           0.0066392
                   2,            0.057611,            0.041586,                   0,              0.6058,                0.59,             0.58275,             0.28647,             0.04793,            0.031768,                   0,            0.010089,           0.0099462,           0.0099462
                   3,            0.053587,            0.041629,                   0,             0.69458,             0.56754,             0.63041,             0.31478,            0.046959,            0.030895,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.050535,            0.042706,                   0,             0.68683,             0.58706,             0.62353,             0.33755,            0.044509,            0.032496,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048644,            0.041148,                   0,             0.70765,             0.58552,             0.65124,             0.37061,            0.043305,            0.030821,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              0.0472,            0.041043,                   0,             0.72717,             0.61479,             0.68109,             0.38383,            0.041835,            0.030226,                   0,            0.009901,            0.009901,            0.009901
                   7,             0.04544,            0.039834,                   0,             0.71642,             0.62736,             0.68018,             0.39323,            0.040852,            0.030094,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.044553,            0.039072,                   0,             0.74994,             0.66774,             0.72777,             0.42288,            0.040443,            0.029164,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.044085,            0.039273,                   0,             0.75021,             0.65434,             0.72824,             0.42922,            0.039229,            0.028541,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.042767,            0.038571,                   0,             0.77184,             0.65677,             0.73361,             0.43561,            0.039046,            0.028516,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.043122,            0.038955,                   0,             0.75085,             0.68053,              0.7465,             0.44196,            0.038127,            0.027794,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.041823,             0.03792,                   0,             0.75432,             0.67437,              0.7439,             0.45107,            0.037917,            0.027992,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.042135,             0.03818,                   0,             0.75115,             0.64843,             0.72257,             0.43011,            0.039089,            0.028499,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.041399,            0.038079,                   0,             0.78655,             0.69594,             0.77425,               0.477,             0.03719,            0.027326,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.040368,             0.03682,                   0,             0.79019,              0.6885,             0.76658,             0.46579,            0.037355,            0.026919,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.040721,            0.036748,                   0,             0.79519,             0.70192,             0.77608,             0.48361,            0.036831,            0.026363,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.039385,            0.036324,                   0,             0.79915,             0.69378,             0.77273,             0.47675,            0.036398,            0.026639,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.039947,            0.036602,                   0,             0.78718,             0.70262,             0.77689,             0.48238,            0.036418,            0.026587,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.040066,            0.037026,                   0,              0.7971,             0.69594,             0.77764,             0.48909,            0.035756,            0.026578,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.039651,            0.036166,                   0,             0.79844,             0.71515,             0.79225,             0.48796,            0.036214,             0.02645,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.039252,            0.035464,                   0,             0.80052,             0.71212,             0.79349,             0.49648,            0.035627,            0.026186,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.038611,            0.035057,                   0,             0.80977,             0.68952,             0.78157,             0.49185,            0.036105,            0.026342,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.039054,            0.035766,                   0,             0.78613,             0.69312,             0.77242,             0.47578,            0.035931,            0.026313,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.038875,            0.035427,                   0,             0.82469,              0.7039,             0.80003,             0.49927,            0.035296,            0.026231,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.038938,            0.035688,                   0,             0.81171,             0.73289,              0.8016,             0.50587,            0.034892,             0.02543,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.038041,            0.035077,                   0,             0.82414,             0.73293,              0.8145,             0.51705,            0.034762,            0.025162,                   0,            0.009505,            0.009505,            0.009505
