               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073406,            0.045286,                   0,             0.47925,             0.60632,             0.54608,             0.26435,            0.052955,            0.025681,                   0,            0.070128,           0.0033191,           0.0033191
                   1,            0.057132,             0.03747,                   0,             0.62019,             0.63919,             0.65004,             0.33049,             0.04835,            0.025043,                   0,            0.040115,           0.0066392,           0.0066392
                   2,            0.053524,            0.037936,                   0,             0.66503,             0.65873,             0.68582,             0.37257,            0.045268,            0.026698,                   0,            0.010089,           0.0099462,           0.0099462
                   3,            0.048458,            0.038408,                   0,             0.75135,              0.6666,             0.72679,             0.42704,              0.0401,            0.027788,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.045858,            0.039616,                   0,             0.79525,               0.651,             0.73906,             0.43245,            0.040323,             0.02784,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.045186,            0.038085,                   0,             0.77622,             0.67514,             0.74664,             0.45245,            0.039017,            0.027958,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.043466,            0.038035,                   0,             0.76564,             0.69055,             0.74926,             0.44113,            0.039446,            0.027745,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.041867,             0.03723,                   0,             0.77019,             0.69884,             0.76073,             0.45763,            0.037569,            0.027307,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.041797,            0.036655,                   0,             0.79709,             0.68927,             0.77108,             0.48024,            0.037066,            0.026808,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.04078,            0.036851,                   0,             0.78671,             0.68028,              0.7699,             0.48304,            0.036276,            0.027469,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,             0.04008,            0.036336,                   0,              0.7767,             0.71281,             0.77948,             0.49131,            0.035216,            0.026787,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039212,            0.036432,                   0,             0.79281,             0.69475,             0.78117,             0.48584,            0.035364,            0.026894,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.038591,            0.035367,                   0,             0.77848,             0.73192,             0.79009,             0.50788,            0.034149,            0.026162,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.038764,            0.035597,                   0,             0.80831,             0.71084,             0.80218,             0.51894,            0.033662,             0.02611,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038029,            0.035126,                   0,             0.81306,             0.71854,             0.80383,             0.52139,            0.033814,            0.025696,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037268,            0.033868,                   0,             0.82629,             0.72856,             0.81669,             0.52839,             0.03369,            0.025268,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.037207,            0.033899,                   0,             0.79794,             0.74741,             0.81591,             0.53158,            0.033275,            0.025072,                   0,            0.009703,            0.009703,            0.009703
